id,like_movie,movie_id,user_id
498,1,120586,104558
499,1,102926,104558
500,1,120689,104558
501,1,120815,104558
502,1,133093,104558
503,1,109830,104558
504,1,110912,104558
505,1,111161,104558
506,1,80979,104558
508,1,88247,104558
509,1,78935,90044
510,,78935,93740
511,1,80678,104558
512,1,83658,104558
513,1,87884,104558
514,1,91763,104558
515,1,92005,104558
516,1,97165,104558
517,1,81398,104558
518,1,95016,104558
519,1,97576,104558
520,1,81059,104558
521,1,86879,104558
522,1,7282468,25542
523,1,90605,104558
524,1,93058,104558
525,1,82971,104558
526,1,903747,104545
527,1,903747,2773
528,1,78935,104857
529,1,1645170,104857
530,1,1477834,104857
531,1,70047,104558
532,1,72431,104558
533,1,72890,104558
534,1,73195,104558
535,1,74119,104558
536,1,75686,104558
537,1,78841,104558
538,1,79672,104558
539,1,70510,104558
540,1,72684,104558
541,1,74958,104558
542,1,75148,104558
543,1,71315,104558
544,1,72417,104558
545,1,75314,104558
546,1,66921,104558
547,1,70735,104558
548,1,78748,104558
549,1,68646,104558
550,1,71562,104558
551,1,99674,104558
552,1,76759,104558
553,1,80684,104558
554,1,86190,104558
555,1,120915,104558
556,1,121765,104558
557,1,121766,104558
558,1,54997,104558
559,1,58083,104558
560,1,59113,104558
561,1,61184,104558
562,1,61722,104558
563,1,63442,104558
564,1,63522,104558
565,1,64115,104558
566,1,53946,104558
567,1,56217,104558
568,1,56241,104558
569,1,61512,104558
570,1,57115,104558
571,1,53604,104558
572,1,56592,104558
573,1,62622,104558
574,1,54215,104558
575,1,64116,104558
576,1,6921996,100020
577,1,13069986,43912
578,1,3228774,43912
579,1,7134908,104533
580,1,10731768,43912
581,1,1292566,43912
582,1,5475710,29937
583,1,327597,1
584,1,167261,67824
585,1,9426852,36250
586,1,1763303,29933
587,,50212,104558
588,,43338,104558
589,1,1648216,104430
590,1,4574334,30882
591,1,2194499,104881
592,1,182576,76134
593,1,9179974,104881
594,1,7767422,104896
595,1,274166,104789
596,1,7767422,104789
597,1,7949218,104901
598,1,4590256,64408
599,1,411008,104920
600,1,8805150,104920
601,1,6334354,104920
602,1,2420018,104928
603,1,1655078,104935
604,1,6300100,104881
605,1,1659337,104881
606,1,5109280,104948
607,1,7134908,104946
608,1,5420376,104946
609,1,4052886,104946
610,,6468322,104955
611,1,327597,104558
612,1,6467266,104963
613,1,73486,101294
614,1,2402927,104965
615,1,96895,104558
616,1,1386697,104558
617,1,6334354,104558
618,1,7713068,104558
619,1,4590256,91931
620,1,2267998,104558
621,1,293429,69050
622,1,327597,3265
623,1,795461,30882
624,,73650,93859
625,1,8364368,104414
626,,5420376,104999
627,1,7949218,84572
628,,1124039,101615
629,1,458352,104414
630,1,2106476,104558
631,1,10288566,104558
632,1,942385,24533
633,1,2442560,79463
634,1,2442560,79060
635,1,2325989,104881
636,1,5420376,104881
637,1,1099212,104881
638,1,10954652,86635
639,1,2442560,103678
758,1,485947,105482
